Begin date/time is: Tue Mar 14 08:33:00 2017
        used time is 0 s 0 ms.
line num is :5251
Gen = 122,  Average Cost = 114544.525000, Average Fit = 6744.474847, Min Cost = 106538, Current MinCost = 108741, Current worstCost = 121330
Gen = 123,  Average Cost = 115410.087500, Average Fit = 7270.747113, Min Cost = 106538, Current MinCost = 107592, Current worstCost = 122755
Gen = 124,  Average Cost = 115674.337500, Average Fit = 9358.251190, Min Cost = 106538, Current MinCost = 106538, Current worstCost = 125137
Gen = 125,  Average Cost = 116248.500000, Average Fit = 10146.209902, Min Cost = 106538, Current MinCost = 106642, Current worstCost = 126516
Gen = 126,  Average Cost = 116550.137500, Average Fit = 8159.060427, Min Cost = 106538, Current MinCost = 109000, Current worstCost = 124802
Gen = 127,  Average Cost = 116527.150000, Average Fit = 8309.872247, Min Cost = 106538, Current MinCost = 107547, Current worstCost = 124943
Gen = 128,  Average Cost = 116644.350000, Average Fit = 11442.690381, Min Cost = 106538, Current MinCost = 107343, Current worstCost = 128216
Gen = 129,  Average Cost = 116596.512500, Average Fit = 9152.548004, Min Cost = 106538, Current MinCost = 107439, Current worstCost = 125864
Gen = 130,  Average Cost = 116758.862500, Average Fit = 8508.346321, Min Cost = 106538, Current MinCost = 107880, Current worstCost = 125377
Gen = 131,  Average Cost = 117189.200000, Average Fit = 7903.626334, Min Cost = 106538, Current MinCost = 106774, Current worstCost = 125212
Gen = 132,  Average Cost = 116003.800000, Average Fit = 7738.523375, Min Cost = 106538, Current MinCost = 106774, Current worstCost = 123838
Gen = 133,  Average Cost = 115872.475000, Average Fit = 12353.651908, Min Cost = 106538, Current MinCost = 110764, Current worstCost = 128212
Gen = 134,  Average Cost = 115195.237500, Average Fit = 7658.048079, Min Cost = 106444, Current MinCost = 106444, Current worstCost = 122936
Gen = 135,  Average Cost = 115205.325000, Average Fit = 9548.511073, Min Cost = 106444, Current MinCost = 106538, Current worstCost = 124850
Gen = 136,  Average Cost = 115727.037500, Average Fit = 10519.762216, Min Cost = 106444, Current MinCost = 107056, Current worstCost = 126354
Gen = 137,  Average Cost = 115517.025000, Average Fit = 8042.213668, Min Cost = 106444, Current MinCost = 109613, Current worstCost = 123619
Gen = 138,  Average Cost = 115559.887500, Average Fit = 13310.480385, Min Cost = 106444, Current MinCost = 106546, Current worstCost = 128984
Gen = 139,  Average Cost = 116123.062500, Average Fit = 8358.318075, Min Cost = 106444, Current MinCost = 107377, Current worstCost = 124582
Gen = 140,  Average Cost = 115492.237500, Average Fit = 9746.809506, Min Cost = 106425, Current MinCost = 106425, Current worstCost = 125367
Gen = 141,  Average Cost = 114461.012500, Average Fit = 9936.985572, Min Cost = 103415, Current MinCost = 103415, Current worstCost = 124505
Gen = 142,  Average Cost = 114515.900000, Average Fit = 12182.678915, Min Cost = 103415, Current MinCost = 103415, Current worstCost = 126823
Gen = 143,  Average Cost = 114754.662500, Average Fit = 11558.285155, Min Cost = 103415, Current MinCost = 104772, Current worstCost = 126425
Gen = 144,  Average Cost = 114779.912500, Average Fit = 10191.785846, Min Cost = 103415, Current MinCost = 104489, Current worstCost = 125079
Gen = 145,  Average Cost = 115546.437500, Average Fit = 8631.169906, Min Cost = 103415, Current MinCost = 105569, Current worstCost = 124279
Gen = 146,  Average Cost = 116166.775000, Average Fit = 10861.352097, Min Cost = 103415, Current MinCost = 106624, Current worstCost = 127150
Gen = 147,  Average Cost = 115926.450000, Average Fit = 9733.936016, Min Cost = 103415, Current MinCost = 103415, Current worstCost = 125793
Gen = 148,  Average Cost = 116001.662500, Average Fit = 13217.199105, Min Cost = 103415, Current MinCost = 108104, Current worstCost = 129313
Gen = 149,  Average Cost = 115581.275000, Average Fit = 9903.247596, Min Cost = 103415, Current MinCost = 106957, Current worstCost = 125584
Gen = 150,  Average Cost = 115218.387500, Average Fit = 10049.505399, Min Cost = 103415, Current MinCost = 106179, Current worstCost = 125368
Gen = 151,  Average Cost = 114632.650000, Average Fit = 11796.119168, Min Cost = 103415, Current MinCost = 105579, Current worstCost = 126528
Gen = 152,  Average Cost = 114300.787500, Average Fit = 7090.248875, Min Cost = 102735, Current MinCost = 102735, Current worstCost = 121439
Gen = 153,  Average Cost = 113758.800000, Average Fit = 8351.989059, Min Cost = 102735, Current MinCost = 102735, Current worstCost = 122166
Gen = 154,  Average Cost = 113887.350000, Average Fit = 9603.775963, Min Cost = 102735, Current MinCost = 104892, Current worstCost = 123545
Gen = 155,  Average Cost = 114134.437500, Average Fit = 9863.516287, Min Cost = 102735, Current MinCost = 104892, Current worstCost = 124059
Gen = 156,  Average Cost = 113739.200000, Average Fit = 10705.717208, Min Cost = 102735, Current MinCost = 104870, Current worstCost = 124501
Gen = 157,  Average Cost = 113486.875000, Average Fit = 14338.009866, Min Cost = 102735, Current MinCost = 103415, Current worstCost = 127902
Gen = 158,  Average Cost = 113380.500000, Average Fit = 7362.100177, Min Cost = 101961, Current MinCost = 101961, Current worstCost = 120792
Gen = 159,  Average Cost = 112227.200000, Average Fit = 10617.928583, Min Cost = 101961, Current MinCost = 104716, Current worstCost = 122872
Gen = 160,  Average Cost = 111112.037500, Average Fit = 12562.446137, Min Cost = 101961, Current MinCost = 101961, Current worstCost = 123715
Gen = 161,  Average Cost = 110968.862500, Average Fit = 9317.585573, Min Cost = 101961, Current MinCost = 102865, Current worstCost = 120302
Gen = 162,  Average Cost = 110699.662500, Average Fit = 7358.614385, Min Cost = 101961, Current MinCost = 101961, Current worstCost = 118061
Gen = 163,  Average Cost = 111184.950000, Average Fit = 8674.512834, Min Cost = 101961, Current MinCost = 103004, Current worstCost = 119875
Gen = 164,  Average Cost = 112005.825000, Average Fit = 9872.141710, Min Cost = 101961, Current MinCost = 101961, Current worstCost = 121929
Gen = 165,  Average Cost = 111941.750000, Average Fit = 9679.241610, Min Cost = 101961, Current MinCost = 103720, Current worstCost = 121652
Gen = 166,  Average Cost = 111728.262500, Average Fit = 8197.167268, Min Cost = 101961, Current MinCost = 102729, Current worstCost = 119951
Gen = 167,  Average Cost = 111506.175000, Average Fit = 7465.133223, Min Cost = 101961, Current MinCost = 101961, Current worstCost = 118990
Gen = 168,  Average Cost = 111979.962500, Average Fit = 8534.387848, Min Cost = 101961, Current MinCost = 102719, Current worstCost = 120548
Gen = 169,  Average Cost = 112433.925000, Average Fit = 8571.886611, Min Cost = 101961, Current MinCost = 103115, Current worstCost = 121046
Gen = 170,  Average Cost = 112444.900000, Average Fit = 7291.178452, Min Cost = 101961, Current MinCost = 105047, Current worstCost = 119751
Gen = 171,  Average Cost = 111813.225000, Average Fit = 6924.475723, Min Cost = 101919, Current MinCost = 101919, Current worstCost = 118756
Gen = 172,  Average Cost = 111945.787500, Average Fit = 8485.686765, Min Cost = 101919, Current MinCost = 103768, Current worstCost = 120456
Gen = 173,  Average Cost = 111851.187500, Average Fit = 10499.880214, Min Cost = 101919, Current MinCost = 103577, Current worstCost = 122385
Gen = 174,  Average Cost = 111430.775000, Average Fit = 9225.872427, Min Cost = 101919, Current MinCost = 102218, Current worstCost = 120689
Gen = 175,  Average Cost = 110875.575000, Average Fit = 7782.230474, Min Cost = 101919, Current MinCost = 102995, Current worstCost = 118661
Gen = 176,  Average Cost = 109918.025000, Average Fit = 11445.606508, Min Cost = 101919, Current MinCost = 102921, Current worstCost = 121350
Gen = 177,  Average Cost = 110155.237500, Average Fit = 8185.159506, Min Cost = 101919, Current MinCost = 102999, Current worstCost = 118330
Gen = 178,  Average Cost = 110999.137500, Average Fit = 8200.616261, Min Cost = 101919, Current MinCost = 103584, Current worstCost = 119203
Gen = 179,  Average Cost = 110896.087500, Average Fit = 8778.765793, Min Cost = 101919, Current MinCost = 102600, Current worstCost = 119689
Gen = 180,  Average Cost = 111237.075000, Average Fit = 7410.322657, Min Cost = 101444, Current MinCost = 101444, Current worstCost = 118792
Gen = 181,  Average Cost = 110623.100000, Average Fit = 9230.852379, Min Cost = 101444, Current MinCost = 102012, Current worstCost = 119998
Gen = 182,  Average Cost = 111511.437500, Average Fit = 11915.371483, Min Cost = 101444, Current MinCost = 103002, Current worstCost = 123589
Gen = 183,  Average Cost = 111752.187500, Average Fit = 9291.915209, Min Cost = 101444, Current MinCost = 102504, Current worstCost = 121209
Gen = 184,  Average Cost = 111942.562500, Average Fit = 10729.682870, Min Cost = 101444, Current MinCost = 105008, Current worstCost = 122812
Gen = 185,  Average Cost = 111616.825000, Average Fit = 10192.468162, Min Cost = 101444, Current MinCost = 103528, Current worstCost = 121964
Gen = 186,  Average Cost = 111424.025000, Average Fit = 12413.781083, Min Cost = 101444, Current MinCost = 105001, Current worstCost = 123949
Gen = 187,  Average Cost = 111455.650000, Average Fit = 8777.199044, Min Cost = 101444, Current MinCost = 105878, Current worstCost = 120343
Gen = 188,  Average Cost = 111354.637500, Average Fit = 9892.700061, Min Cost = 101444, Current MinCost = 104331, Current worstCost = 121382
Gen = 189,  Average Cost = 111529.162500, Average Fit = 10500.777136, Min Cost = 101444, Current MinCost = 104317, Current worstCost = 122170
Gen = 190,  Average Cost = 111993.937500, Average Fit = 9760.933811, Min Cost = 101444, Current MinCost = 104701, Current worstCost = 121902
Gen = 191,  Average Cost = 111638.012500, Average Fit = 9620.033997, Min Cost = 101444, Current MinCost = 104628, Current worstCost = 121396
Gen = 192,  Average Cost = 111697.975000, Average Fit = 10871.086549, Min Cost = 101444, Current MinCost = 102923, Current worstCost = 122736
Gen = 193,  Average Cost = 111506.950000, Average Fit = 8954.130605, Min Cost = 101444, Current MinCost = 102056, Current worstCost = 120622
Gen = 194,  Average Cost = 112392.287500, Average Fit = 9144.392048, Min Cost = 101444, Current MinCost = 104680, Current worstCost = 121693
Gen = 195,  Average Cost = 112288.437500, Average Fit = 8034.499523, Min Cost = 101444, Current MinCost = 105085, Current worstCost = 120467
Gen = 196,  Average Cost = 111731.725000, Average Fit = 7086.695115, Min Cost = 101444, Current MinCost = 102252, Current worstCost = 118964
Gen = 197,  Average Cost = 111388.587500, Average Fit = 8800.683240, Min Cost = 101444, Current MinCost = 102710, Current worstCost = 120341
Gen = 198,  Average Cost = 111164.775000, Average Fit = 10166.136169, Min Cost = 101444, Current MinCost = 103272, Current worstCost = 121477
Gen = 199,  Average Cost = 111658.050000, Average Fit = 10706.561583, Min Cost = 101444, Current MinCost = 104346, Current worstCost = 122508
Gen = 200,  Average Cost = 111603.312500, Average Fit = 10927.054008, Min Cost = 101444, Current MinCost = 104009, Current worstCost = 122678
End date/time is: Tue Mar 14 10:00:48 2017
        used time is 5268 s 351 ms.
